Filename,Sentiment,Polarity
11_05_20_ChuckawallaValley_06_41.txt,NEGATIVE,0.9998252987861633
12_28_20_Chowchilla_148.txt,NEGATIVE,0.9796597361564636
12_29_20_Ironwood_157.txt,POSITIVE,0.9901947379112244
12_30_20_Ironwood_156.txt,NEGATIVE,0.979389488697052
Alameda_SantaRita_20210505_708_Family_Programs_Stress.txt,NEGATIVE,0.9999886751174927
Alameda_SantaRita_20210505_708_FULL.txt,NEGATIVE,0.9999094009399414
Alameda_SantaRita_20210505_708_Infection_PrisonConditions1.txt,NEGATIVE,0.9999094009399414
Alameda_SantaRita_20210505_708_PrisonConditions2.txt,NEGATIVE,0.9998975992202759
Alameda_SantaRita_20211104_17377_FULL.txt,NEGATIVE,0.9998425245285034
Alameda_SantaRita_20211104_17377_Stress.txt,NEGATIVE,0.9999533891677856
Alameda_SantaRita_20211112_94071_FULL.txt,NEGATIVE,0.9998257756233215
Alameda_SantaRita_20211112_94071_Infection_PrisonConditions.txt,NEGATIVE,0.9999569654464722
Alameda_SantaRita_20211117_77131_FULL.txt,NEGATIVE,0.9999600648880005
Alameda_SantaRita_20211117_77131_PrisonConditions2_Featured.txt,NEGATIVE,0.9999736547470093
Alameda_SantaRita_20211117_77131_PrisonConditions_Family_Featured.txt,NEGATIVE,0.9998018145561218
Alameda_SantaRita_20211208_13170_FULL.txt,NEGATIVE,0.999823272228241
Alameda_SantaRita_20211208_13170_PrisonConditions.txt,NEGATIVE,0.9999775886535645
Alameda_SantaRita_20211208_79927_FULL.txt,NEGATIVE,0.8047681450843811
Alameda_SantaRita_20211208_79927_Infection.txt,NEGATIVE,0.9954608082771301
Alameda_SantaRita_20211208_79927_Programs_Infection.txt,NEGATIVE,0.928978681564331
Alameda_SantaRita_20220113_78977_FULL.txt,NEGATIVE,0.99998939037323
Alameda_SantaRita_20220113_78977_PrisonConditions2_Stress.txt,NEGATIVE,0.9998468160629272
Alameda_SantaRita_20220113_78977_PrisonConditions_Infection.txt,NEGATIVE,0.9999932050704956
Alameda_SantaRita_20220113_78977_Stress2_PrisonConditions3.txt,NEGATIVE,0.9999563694000244
Alameda_SantaRita_20220225_43871_FULL.txt,NEGATIVE,0.9969137907028198
Alameda_SantaRita_20220225_43871_Infection2_PrisonConditions2.txt,NEGATIVE,0.9999039173126221
Alameda_SantaRita_20220225_43871_Infection3_PrisonConditions3_Featured.txt,NEGATIVE,0.9999668598175049
Alameda_SantaRita_20220225_43871_Infection_PrisonConditions.txt,NEGATIVE,0.9893691539764404
Alameda_SantaRita_20220225_43871_PrisonConditions_Stress_Featured.txt,NEGATIVE,0.9998763799667358
Alameda_SantaRita_20220225_68847_FULL.txt,NEGATIVE,0.9999649524688721
Alameda_SantaRita_20220225_68847_PrisonConditions2.txt,NEGATIVE,0.9999879598617554
Alameda_SantaRita_20220225_68847_PrisonConditions_Infection.txt,NEGATIVE,0.9999649524688721
Amador_Main_20210831_95905_Family.txt,NEGATIVE,0.9999148845672607
Amador_Main_20210831_95905_FULL.txt,NEGATIVE,0.9999964237213135
