file_name,is_call,length
11_05_20_ChuckawallaValley_06_41.txt,1,7943
12_28_20_Chowchilla_148.txt,0,4168
12_29_20_Ironwood_157.txt,0,4106
12_30_20_Ironwood_156.txt,0,3116
Alameda_SantaRita_20210505_708_Family_Programs_Stress.txt,1,1378
Alameda_SantaRita_20210505_708_FULL.txt,1,3813
Alameda_SantaRita_20210505_708_Infection_PrisonConditions1.txt,1,1165
Alameda_SantaRita_20210505_708_PrisonConditions2.txt,1,361
Alameda_SantaRita_20211104_17377_FULL.txt,1,1724
Alameda_SantaRita_20211104_17377_Stress.txt,0,1472
Alameda_SantaRita_20211112_94071_FULL.txt,1,2392
Alameda_SantaRita_20211112_94071_Infection_PrisonConditions.txt,1,762
Alameda_SantaRita_20211117_77131_FULL.txt,1,3504
Alameda_SantaRita_20211117_77131_PrisonConditions2_Featured.txt,1,840
Alameda_SantaRita_20211117_77131_PrisonConditions_Family_Featured.txt,1,1184
Alameda_SantaRita_20211208_13170_FULL.txt,1,584
Alameda_SantaRita_20211208_13170_PrisonConditions.txt,1,463
Alameda_SantaRita_20211208_79927_FULL.txt,1,2022
Alameda_SantaRita_20211208_79927_Infection.txt,1,587
Alameda_SantaRita_20211208_79927_Programs_Infection.txt,1,1077
Alameda_SantaRita_20220113_78977_FULL.txt,1,4928
Alameda_SantaRita_20220113_78977_PrisonConditions2_Stress.txt,1,651
Alameda_SantaRita_20220113_78977_PrisonConditions_Infection.txt,1,909
Alameda_SantaRita_20220113_78977_Stress2_PrisonConditions3.txt,1,823
Alameda_SantaRita_20220225_43871_FULL.txt,1,3993
Alameda_SantaRita_20220225_43871_Infection2_PrisonConditions2.txt,1,994
Alameda_SantaRita_20220225_43871_Infection3_PrisonConditions3_Featured.txt,1,393
Alameda_SantaRita_20220225_43871_Infection_PrisonConditions.txt,1,586
Alameda_SantaRita_20220225_43871_PrisonConditions_Stress_Featured.txt,1,418
Alameda_SantaRita_20220225_68847_FULL.txt,1,556
Alameda_SantaRita_20220225_68847_PrisonConditions2.txt,0,2207
Alameda_SantaRita_20220225_68847_PrisonConditions_Infection.txt,1,388
Amador_Main_20210831_95905_Family.txt,0,1272
Amador_Main_20210831_95905_FULL.txt,1,1153
Amador_Main_20210831_95905_PrisonConditions.txt,1,415
Amador_Main_20210914_87709_FULL.txt,1,2262
Amador_Main_20210914_87709_Infection_PrisonConditions.txt,1,903
Amador_Main_20210914_87709_Stress_Featured.txt,1,894
Avenal_20201030_7_01_Family.txt,1,352
Avenal_20201030_7_01_FULL.txt,1,3067
Avenal_20201030_7_01_Infection.txt,0,1031
Avenal_20201030_7_01_PrisonConditions.txt,0,1107
Avenal_20201030_7_01_PrisonConditions2.txt,1,478
Avenal_20201030_7_01_PrisonConditions3.txt,1,908
Avenal_20201030_7_01_PrisonConditions4.txt,1,332
Avenal_20201030_7_01_PrisonConditions5.txt,1,290
Avenal_20201105_07_12_Family.txt,1,464
Avenal_20201105_07_12_FULL.txt,1,2897
Avenal_20201105_07_12_Infection.txt,1,341
Avenal_20201105_07_12_PrisonConditions.txt,1,326
Avenal_20201105_07_12_PrisonConditions2.txt,1,1003
Avenal_20201105_07_12_Programs.txt,1,409
Avenal_20201105_0830_Family.txt,0,1172
Avenal_20201105_0830_Full.txt,1,2339
Avenal_20201105_0830_Infection1.txt,0,1240
Avenal_20201105_0830_Infection2.txt,0,2915
Avenal_20201105_0830_PrisonConditions.txt,1,653
Avenal_20201105_0830_PrisonConditions2.txt,0,1630
Avenal_20201105_08_11_FULL.txt,1,1966
Avenal_20201105_08_11_Infection_PrisonConditions.txt,1,716
Avenal_20201105_08_11_PrisonConditions.txt,1,590
Avenal_20201105_08_11_PrisonConditions_Infection.txt,1,406
Avenal_20201106_623_Family.txt,1,687
Avenal_20201106_623_FULL.txt,1,2479
Avenal_20201106_623_PrisonConditions.txt,1,1455
Avenal_20201106_623_PrisonConditions2.txt,1,535
Avenal_20201106_623_Stress.txt,1,139
Avenal_20201110_08_13_Family.txt,1,404
Avenal_20201110_08_13_FULL.txt,1,4229
Avenal_20201110_08_13_Infection.txt,1,1034
Avenal_20201110_08_13_PrisonConditions.txt,1,446
Avenal_20201110_08_13_PrisonConditions2.txt,1,710
Avenal_20201110_08_13_PrisonConditions3.txt,1,886
Avenal_20201110_7_51_Family.txt,1,244
Avenal_20201110_7_51_FULL.txt,1,3949
Avenal_20201110_7_51_Infection.txt,1,522
Avenal_20201110_7_51_PrisonConditions.txt,1,1377
Avenal_20201110_7_51_PrisonConditions2.txt,1,279
Avenal_20201110_7_51_PrisonConditions3.txt,1,689
Avenal_20201110_7_51_Stress.txt,1,675
Avenal_20201113_7_18_FULL.txt,1,3165
Avenal_20201113_7_18_PrisonConditions1.txt,1,344
Avenal_20201113_7_18_PrisonConditions2.txt,1,988
Avenal_20201113_7_18_Stress.txt,1,352
Avenal_20210317_8_31_Full.txt,1,2497
Avenal_20210317_8_31_Infection1.txt,1,679
Avenal_20210317_8_31_Infection2.txt,1,307
Avenal_20210317_8_31_PrisonConditions.txt,0,2591
Avenal_20210317_8_31_Stress_Featured.txt,1,534
Avenal_20210326_6_51_Full.txt,1,1407
Avenal_20210326_6_51_Infection.txt,1,648
Avenal_20210326_6_51_PrisonConditions1.txt,0,2142
Avenal_20210326_6_51_PrisonConditions2.txt,0,2204
Avenal_20210326_6_51_Programs_Infection2.txt,0,2192
Avenal_20210326_6_51_Stress_Infection3.txt,0,1594
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress.txt,1,1697
Avenal_20210916_71906_P1_FULL.txt,1,2000
Avenal_20210916_71906_P1_PrisonConditions_Family_Infection.txt,0,2022
Avenal_20210916_71906_P1_Programs2_Infection2_Featured.txt,1,1169
Avenal_20210916_71906_P1_Stress_ Infection3_Programs.txt,1,501
Avenal_20210916_71906_P2_FULL.txt,1,3673
Avenal_20210916_71906_P2_Infection2_PrisonConditions2_Featured2.txt,1,1415
Avenal_20210916_71906_P2_Infection_PrisonConditions_Featured.txt,1,587
Avenal_20210916_71906_P2_PrisonConditions2.txt,1,208
Avenal_20210916_71906_P3_FULL.txt,1,4943
Avenal_20210916_71906_P3_PrisonConditions_Stress.txt,1,607
Avenal_20210916_71906_P3_Stress_PrisonConditions_Family.txt,1,186
Butte_Main_20220105_13697_FULL.txt,1,5566
Butte_Main_20220105_13697_Infection1_Stress1.txt,1,1528
Butte_Main_20220105_13697_Programs.txt,1,571
Butte_Main_20220105_13697_Stress2_Family.txt,1,830
Butte_Main_20220105_13697_Stress3_PrisonConditions.txt,1,210
Butte_Main_20220105_13697_Stress4_Infection2.txt,1,992
Butte_Main_20220105_59841_Family_Stress.txt,1,1342
Butte_Main_20220105_59841_FULL.txt,1,7305
Butte_Main_20220105_59841_PrisonConditions.txt,1,1682
CaliforniaCity_20210426_816_Full_ProgramsFamily.txt,0,2454
CaliforniaCity_20210426_860_FULL.txt,0,7746
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection1.txt,0,2615
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection2.txt,0,3162
CaliforniaCity_20210426_860_StressPrisonConditionsPrograms.txt,0,1884
CaliforniaCity_20210428_851_FULL.txt,0,5312
CaliforniaCity_20210428_851_PrisonConditionsInfection.txt,0,2690
CaliforniaCity_20210428_851_ProgramsStressInfection.txt,0,2548
CaliforniaCity_20210428_855_FULL.txt,0,4869
CaliforniaCity_20210428_855_ProgramsPrisonConditions.txt,0,2174
CaliforniaCity_20210428_855_ProgramsPrisonConditionsFamily.txt,0,1674
CaliforniaCity_20210505_1771_FULL.txt,0,2386
CaliforniaCity_20210528_1542_FULL_Family_Stress.txt,0,1164
CaliforniaCity_20210604_821_FULL_Programs_Infection.txt,1,149
CaliforniaCity_20210609_844_Family2_Stress_Programs1.txt,1,742
CaliforniaCity_20210609_844_Family_PrisonConditions.txt,1,1442
CaliforniaCity_20210609_844_FULL.txt,1,4417
CaliforniaCity_20210609_844_Infection.txt,1,647
CaliforniaCity_20210609_844_Programs.txt,1,654
