Filename,Sentiment,Polarity
11_05_20_ChuckawallaValley_06_41.txt,NEGATIVE,0.00017470121383678094
12_28_20_Chowchilla_148.txt,NEGATIVE,0.020340263843536377
12_29_20_Ironwood_157.txt,POSITIVE,0.9901947379112244
12_30_20_Ironwood_156.txt,NEGATIVE,0.020610511302947998
Alameda_SantaRita_20210505_708_Family_Programs_Stress.txt,NEGATIVE,1.1324882507213196e-05
Alameda_SantaRita_20210505_708_FULL.txt,NEGATIVE,9.059906005859375e-05
Alameda_SantaRita_20210505_708_Infection_PrisonConditions1.txt,NEGATIVE,9.059906005859375e-05
Alameda_SantaRita_20210505_708_PrisonConditions2.txt,NEGATIVE,0.00010240077972401007
Alameda_SantaRita_20211104_17377_FULL.txt,NEGATIVE,0.00015747547149658203
Alameda_SantaRita_20211104_17377_Stress.txt,NEGATIVE,4.661083221435547e-05
Alameda_SantaRita_20211112_94071_FULL.txt,NEGATIVE,0.00017422437667835577
Alameda_SantaRita_20211112_94071_Infection_PrisonConditions.txt,NEGATIVE,4.303455352783203e-05
Alameda_SantaRita_20211117_77131_FULL.txt,NEGATIVE,3.993511199962274e-05
Alameda_SantaRita_20211117_77131_PrisonConditions2_Featured.txt,NEGATIVE,2.634525299083368e-05
Alameda_SantaRita_20211117_77131_PrisonConditions_Family_Featured.txt,NEGATIVE,0.00019818544387817383
Alameda_SantaRita_20211208_13170_FULL.txt,NEGATIVE,0.0001767277717590332
Alameda_SantaRita_20211208_13170_PrisonConditions.txt,NEGATIVE,2.2411346435546875e-05
Alameda_SantaRita_20211208_79927_FULL.txt,NEGATIVE,0.1952318549156189
Alameda_SantaRita_20211208_79927_Infection.txt,NEGATIVE,0.004539191722869984
Alameda_SantaRita_20211208_79927_Programs_Infection.txt,NEGATIVE,0.07102131843566895
Alameda_SantaRita_20220113_78977_FULL.txt,NEGATIVE,1.0609626770019531e-05
Alameda_SantaRita_20220113_78977_PrisonConditions2_Stress.txt,NEGATIVE,0.0001531839370727539
Alameda_SantaRita_20220113_78977_PrisonConditions_Infection.txt,NEGATIVE,6.794929504394531e-06
Alameda_SantaRita_20220113_78977_Stress2_PrisonConditions3.txt,NEGATIVE,4.363059997558594e-05
Alameda_SantaRita_20220225_43871_FULL.txt,NEGATIVE,0.0030862092971801758
Alameda_SantaRita_20220225_43871_Infection2_PrisonConditions2.txt,NEGATIVE,9.608268737804071e-05
Alameda_SantaRita_20220225_43871_Infection3_PrisonConditions3_Featured.txt,NEGATIVE,3.314018249522821e-05
