file_name,call/letter,length
11_05_20_ChuckawallaValley_06_41.txt,call,7943
12_28_20_Chowchilla_148.txt,letter,4168
12_29_20_Ironwood_157.txt,letter,4106
12_30_20_Ironwood_156.txt,letter,3116
Alameda_SantaRita_20210505_708_Family_Programs_Stress.txt,call,1378
Alameda_SantaRita_20210505_708_FULL.txt,call,3813
Alameda_SantaRita_20210505_708_Infection_PrisonConditions1.txt,call,1165
Alameda_SantaRita_20210505_708_PrisonConditions2.txt,call,361
Alameda_SantaRita_20211104_17377_FULL.txt,call,1724
Alameda_SantaRita_20211104_17377_Stress.txt,letter,1472
Alameda_SantaRita_20211112_94071_FULL.txt,call,2392
Alameda_SantaRita_20211112_94071_Infection_PrisonConditions.txt,call,762
Alameda_SantaRita_20211117_77131_FULL.txt,call,3504
Alameda_SantaRita_20211117_77131_PrisonConditions2_Featured.txt,call,840
Alameda_SantaRita_20211117_77131_PrisonConditions_Family_Featured.txt,call,1184
Alameda_SantaRita_20211208_13170_FULL.txt,call,584
Alameda_SantaRita_20211208_13170_PrisonConditions.txt,call,463
Alameda_SantaRita_20211208_79927_FULL.txt,call,2022
Alameda_SantaRita_20211208_79927_Infection.txt,call,587
Alameda_SantaRita_20211208_79927_Programs_Infection.txt,call,1077
Alameda_SantaRita_20220113_78977_FULL.txt,call,4928
Alameda_SantaRita_20220113_78977_PrisonConditions2_Stress.txt,call,651
Alameda_SantaRita_20220113_78977_PrisonConditions_Infection.txt,call,909
Alameda_SantaRita_20220113_78977_Stress2_PrisonConditions3.txt,call,823
Alameda_SantaRita_20220225_43871_FULL.txt,call,3993
Alameda_SantaRita_20220225_43871_Infection2_PrisonConditions2.txt,call,994
Alameda_SantaRita_20220225_43871_Infection3_PrisonConditions3_Featured.txt,call,393
Alameda_SantaRita_20220225_43871_Infection_PrisonConditions.txt,call,586
Alameda_SantaRita_20220225_43871_PrisonConditions_Stress_Featured.txt,call,418
Alameda_SantaRita_20220225_68847_FULL.txt,call,556
Alameda_SantaRita_20220225_68847_PrisonConditions2.txt,letter,2207
Alameda_SantaRita_20220225_68847_PrisonConditions_Infection.txt,call,388
Amador_Main_20210831_95905_Family.txt,letter,1272
Amador_Main_20210831_95905_FULL.txt,call,1153
Amador_Main_20210831_95905_PrisonConditions.txt,call,415
Amador_Main_20210914_87709_FULL.txt,call,2262
Amador_Main_20210914_87709_Infection_PrisonConditions.txt,call,903
Amador_Main_20210914_87709_Stress_Featured.txt,call,894
Avenal_20201030_7_01_Family.txt,call,352
Avenal_20201030_7_01_FULL.txt,call,3067
Avenal_20201030_7_01_Infection.txt,letter,1031
Avenal_20201030_7_01_PrisonConditions.txt,letter,1107
Avenal_20201030_7_01_PrisonConditions2.txt,call,478
Avenal_20201030_7_01_PrisonConditions3.txt,call,908
Avenal_20201030_7_01_PrisonConditions4.txt,call,332
Avenal_20201030_7_01_PrisonConditions5.txt,call,290
Avenal_20201105_07_12_Family.txt,call,464
Avenal_20201105_07_12_FULL.txt,call,2897
Avenal_20201105_07_12_Infection.txt,call,341
Avenal_20201105_07_12_PrisonConditions.txt,call,326
Avenal_20201105_07_12_PrisonConditions2.txt,call,1003
Avenal_20201105_07_12_Programs.txt,call,409
Avenal_20201105_0830_Family.txt,letter,1172
Avenal_20201105_0830_Full.txt,call,2339
Avenal_20201105_0830_Infection1.txt,letter,1240
Avenal_20201105_0830_Infection2.txt,letter,2915
Avenal_20201105_0830_PrisonConditions.txt,call,653
Avenal_20201105_0830_PrisonConditions2.txt,letter,1630
Avenal_20201105_08_11_FULL.txt,call,1966
Avenal_20201105_08_11_Infection_PrisonConditions.txt,call,716
Avenal_20201105_08_11_PrisonConditions.txt,call,590
Avenal_20201105_08_11_PrisonConditions_Infection.txt,call,406
Avenal_20201106_623_Family.txt,call,687
Avenal_20201106_623_FULL.txt,call,2479
Avenal_20201106_623_PrisonConditions.txt,call,1455
Avenal_20201106_623_PrisonConditions2.txt,call,535
Avenal_20201106_623_Stress.txt,call,139
Avenal_20201110_08_13_Family.txt,call,404
Avenal_20201110_08_13_FULL.txt,call,4229
Avenal_20201110_08_13_Infection.txt,call,1034
Avenal_20201110_08_13_PrisonConditions.txt,call,446
Avenal_20201110_08_13_PrisonConditions2.txt,call,710
Avenal_20201110_08_13_PrisonConditions3.txt,call,886
Avenal_20201110_7_51_Family.txt,call,244
Avenal_20201110_7_51_FULL.txt,call,3949
Avenal_20201110_7_51_Infection.txt,call,522
Avenal_20201110_7_51_PrisonConditions.txt,call,1377
Avenal_20201110_7_51_PrisonConditions2.txt,call,279
Avenal_20201110_7_51_PrisonConditions3.txt,call,689
Avenal_20201110_7_51_Stress.txt,call,675
Avenal_20201113_7_18_FULL.txt,call,3165
Avenal_20201113_7_18_PrisonConditions1.txt,call,344
Avenal_20201113_7_18_PrisonConditions2.txt,call,988
Avenal_20201113_7_18_Stress.txt,call,352
Avenal_20210317_8_31_Full.txt,call,2497
Avenal_20210317_8_31_Infection1.txt,call,679
Avenal_20210317_8_31_Infection2.txt,call,307
Avenal_20210317_8_31_PrisonConditions.txt,letter,2591
Avenal_20210317_8_31_Stress_Featured.txt,call,534
Avenal_20210326_6_51_Full.txt,call,1407
Avenal_20210326_6_51_Infection.txt,call,648
Avenal_20210326_6_51_PrisonConditions1.txt,letter,2142
Avenal_20210326_6_51_PrisonConditions2.txt,letter,2204
Avenal_20210326_6_51_Programs_Infection2.txt,letter,2192
Avenal_20210326_6_51_Stress_Infection3.txt,letter,1594
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress.txt,call,1697
Avenal_20210916_71906_P1_FULL.txt,call,2000
Avenal_20210916_71906_P1_PrisonConditions_Family_Infection.txt,letter,2022
Avenal_20210916_71906_P1_Programs2_Infection2_Featured.txt,call,1169
Avenal_20210916_71906_P1_Stress_ Infection3_Programs.txt,call,501
Avenal_20210916_71906_P2_FULL.txt,call,3673
Avenal_20210916_71906_P2_Infection2_PrisonConditions2_Featured2.txt,call,1415
Avenal_20210916_71906_P2_Infection_PrisonConditions_Featured.txt,call,587
Avenal_20210916_71906_P2_PrisonConditions2.txt,call,208
Avenal_20210916_71906_P3_FULL.txt,call,4943
Avenal_20210916_71906_P3_PrisonConditions_Stress.txt,call,607
Avenal_20210916_71906_P3_Stress_PrisonConditions_Family.txt,call,186
Butte_Main_20220105_13697_FULL.txt,call,5566
Butte_Main_20220105_13697_Infection1_Stress1.txt,call,1528
Butte_Main_20220105_13697_Programs.txt,call,571
Butte_Main_20220105_13697_Stress2_Family.txt,call,830
Butte_Main_20220105_13697_Stress3_PrisonConditions.txt,call,210
Butte_Main_20220105_13697_Stress4_Infection2.txt,call,992
Butte_Main_20220105_59841_Family_Stress.txt,call,1342
Butte_Main_20220105_59841_FULL.txt,call,7305
