Story ID (prison_yyyymmdd_topic),Unique ID,On M.I. list?,Reviewed and Cleared,Date R&C,Added to site,Date added,Story Title (max 20 characters),Audio File,Transcript,Date (MM/YY),Prison,Tags,Storyteller,Story Type,"If Segment, Full Story ID",Letter/Call
Stockton_20210922_26483_FULL,26483,,MV,,MV,,The full story,https://www.dropbox.com/s/8cjhlsje8y7flmm/Stockton_20210922_26483_FULL.mp3?dl=0,https://www.dropbox.com/s/ysimo3pwremlli8/Stockton_20210922_26483_FULL.txt?dl=0,09/23,Stockton,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20211208_13170_FULL,13170,,MV,,MV,,The full story,https://www.dropbox.com/s/8ek4h1x3uede48j/Alameda_SantaRita_20211208_13170_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/wgjagutqn5nbajv/Alameda_SantaRita_20211208_13170_FULL.txt?dl=0,12/23,Alameda County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20211208_79927_FULL,79927,,MV,,MV,,The full story,https://www.dropbox.com/s/nenjag30suzb8qm/Alameda_SantaRita_20211208_13170_P2_FULL.mp3?dl=0,https://www.dropbox.com/s/n5p1yc8486k8so8/Alameda_SantaRita_20211208_79927_FULL.txt?dl=0,12/23,Alameda County,,Incarcerated Person,Full,,Call
Avenal_20210916_71906_P1_FULL,71906,MV,MV,,MV,,The full story,https://www.dropbox.com/s/thwa73gc3lcb0oe/Avenal_20210916_71906_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/7m5tqpsm9phsrq6/Avenal_20210916_71906_P1_FULL.txt?dl=0,09/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20210916_71906_P2_FULL,71906,MV,MV,,MV,,The full story,https://www.dropbox.com/s/02oejyvtv9ii8ke/Avenal_20210916_71906_P2_FULL.mp3?dl=0,https://www.dropbox.com/s/jq7uguxpcu1amuu/Avenal_20210916_71906_P2_FULL.txt?dl=0,09/23,Avenal,,Incarcerated Person,Full,,Call
Avenal_20210916_71906_P3_FULL,71906,MV,MV,,MV,,The full story,https://www.dropbox.com/s/nyjt6cvpcti06rt/Avenal_20210916_71906_P3_FULL.mp3?dl=0,https://www.dropbox.com/s/7njn61prpnx7x1p/Avenal_20210916_71906_P3_FULL.txt?dl=0,09/23,Avenal,,Incarcerated Person,Full,,Call
Chowchilla_20210913_92441_FULL,92441,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/hx83timomqq8nzk0iyoct/Chowchilla_20210913_P1_92441_FULL.mp3?rlkey=c7e74yz1lqkrtkk8v5ueq57sm&dl=0,https://www.dropbox.com/s/nslyutgklwikcaw/Chowchilla_20210913_P1_92441_FULL.txt?dl=0,09/21,Chowchilla,,Incarcerated Person,Full,,Call
Solano_20210831_10115_FULL,10115,,MV,,MV,,The full story,https://www.dropbox.com/s/qxew5ion1b418mg/Solano_20210831_10115_FULL.mp3?dl=0,https://www.dropbox.com/s/7veqccx4cpprxus/Solano_20210831_10115_FULL.txt?dl=0,08/21,Solano,,Incarcerated Person,Full,,Call
Vacaville_20210817_646_FULL,81810,,MV,,MV,,The full story,https://www.dropbox.com/s/zxhsvu28mzb97ao/Vacaville_20210817_646_PrisonCondition2_Infection2.mp3?dl=0,https://www.dropbox.com/s/ap1g0o4h6qoofkf/Vacaville_20210817_646_FULL.txt?dl=0,08/23,Vacaville,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20211117_77131_FULL,77131,,MV,,MV,,The full story,https://www.dropbox.com/s/qi0qev2vavv90w6/Alameda_SantaRita_20211117_77131_FULL.mp3?dl=0,https://www.dropbox.com/s/75keu0cb5basf91/Alameda_SantaRita_20211117_77131_FULL.txt?dl=0,11/23,Alameda County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20211104_17377_FULL,17377,,MV,,MV,,The full story,https://www.dropbox.com/s/rxa8yo329b5dw3u/Alameda_SantaRita_20220223_17377_FULL.mp3?dl=0,https://www.dropbox.com/s/wo4njc55pv3ozy6/Alameda_SantaRita_20211104_17377_FULL.txt?dl=0,02/23,Alameda County,,Incarcerated Person,Full,,Call
Butte_Main_20220105_59841_FULL,59841,MV,MV,,,,The full story,https://www.dropbox.com/s/wm1sfbr4gfrmwqo/Butte_Main_20220105_59841_FULL.mp3?dl=0,https://www.dropbox.com/s/7bhhz4qwgky6j03/Butte_Main_20220105_59841_FULL.txt?dl=0,01/23,Butte County,,Incarcerated Person,Full,,Call
Butte_Main_20220105_13697_FULL,13697,,MV,,14,,The full story,https://www.dropbox.com/s/kygjbamxvwr5i9u/Butte_Main_20220105_13697_FULL.mp3?dl=0,https://www.dropbox.com/s/435nr0zsdontfpc/Butte_Main_20220105_13697_FULL.txt?dl=0,01/23,Butte County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20211112_94071_FULL,94071,,MV,,MV,,The full story,https://www.dropbox.com/s/emwhm2380ywxyoj/Alameda_SantaRita_20211112_94071_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/4bkebubbyfuau08/Alameda_SantaRita_20211112_94071_FULL.txt?dl=0,11/23,Alameda County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20210505_708_FULL,58105,,MV,,MV,,The full story,https://www.dropbox.com/s/c3c8edku6vuigt0/Alameda_SantaRita_20210505_708_FULL%20.mp3?dl=0,https://www.dropbox.com/s/waokns9sqof8kwi/Alameda_SantaRita_20210505_708_FULL.txt?dl=0,05/23,Alameda County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20220113_78977_FULL,78977,,MV,,MV,,The full story,https://www.dropbox.com/s/jikphv4zfficf0d/Alameda_SantaRita_20220113_78977_P1_FULL.mp3?dl=0,https://www.dropbox.com/s/ctxkj0cnp5adi56/Alameda_SantaRita_20220113_78977_FULL.txt?dl=0,01/23,Alameda County,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20220225_68847_FULL,68847,,MV,,MV,,The full story,https://www.dropbox.com/s/guhv4w63qbzmolw/Alameda_SantaRita_20220225_68847_FULL.mp3?dl=0,https://www.dropbox.com/s/k3y88l18gxww70x/Alameda_SantaRita_20220225_68847_FULL.txt?dl=0,02/23,Alameda County,,Incarcerated Person,Full,,Call
Chino_20220204_15904_FULL,15904,,MV,,MV,,The full story,https://www.dropbox.com/s/l85fc9eau64jxui/Chino_20220204_15904_FULL..mp3?dl=0,https://www.dropbox.com/s/kn28hcmnbp6yf0q/Chino_20220204_15904_FULL.txt?dl=0,02/23,Chino,,Incarcerated Person,Full,,Call
Chino_20220204_68596_FULL,68596,,MV,,MV,,The full story,https://www.dropbox.com/s/ylgocnszts496w8/Chino_20220204_68596_FULL.mp3?dl=0,https://www.dropbox.com/s/tby8oq1k41rfvbt/Chino_20220204_68596_FULL.txt?dl=0,02/23,Chino,,Incarcerated Person,Full,,Call
Chino_20220204_45125_FULL,45125,,MV,,MV,,The full story,https://www.dropbox.com/s/mipd2f6lzr5lstw/Chino_20220204_45125_FULL.mp3?dl=0,https://www.dropbox.com/s/jr484qngce4qsua/Chino_20220204_45125_FULL.txt?dl=0,02/23,Chino,,Incarcerated Person,Full,,Call
Chino_20220204_94412_FULL,94412,,MV,,MV,,The full story,https://www.dropbox.com/s/bmvvixwfuid7ayi/Chino_20220204_94412_FULL.mp3?dl=0,https://www.dropbox.com/s/svoxqegco9d7gxp/Chino_20220204_94412_FULL.txt?dl=0,02/23,Chino,,Incarcerated Person,Full,,Call
Chino_20220204_43800_FULL,43800,,MV,,MV,,The full story,https://www.dropbox.com/s/vm5yemrlksopzkh/Chino_0220204_43800_FULL.mp3?dl=0,https://www.dropbox.com/s/grydne501pjiwqv/Chino_0220204_43800_FULL.txt?dl=0,02/23,Chino,,Incarcerated Person,Full,,Call
Vacaville_20210707_15983_Full,15983,,MV,,MV,,The full story,https://www.dropbox.com/s/ckuxilbpza7tqrf/Vacaville_20210707_15983_FULL.mp3?dl=0,https://www.dropbox.com/s/4ivx9ha3psv2ssv/Vacaville_20210707_15983_Full.txt?dl=0,07/23,Vacaville,,Incarcerated Person,Full,,Call
Vacaville_20220114_49400_FULL,49400,,MV,,MV,,The full story,https://www.dropbox.com/s/0oqzjw5nlc243qg/Vacaville_0220114_49400_FULL.mp3?dl=0,https://www.dropbox.com/s/bkvbmrd2zpjclyj/Vacaville_20220114_49400_FULL.txt?dl=0,01/23,Vacaville,,Incarcerated Person,Full,,Call
Alameda_SantaRita_20220225_43871_FULL,43871,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/ihecx9n7xlvscndff37zg/Alameda_SantaRita_20220225_43871_FULL.mp3?rlkey=63jur50u7sww1iej7utb6us4g&dl=0,https://www.dropbox.com/scl/fi/oi7t6pcign7o2z1uyp8rl/Alameda_SantaRita_20220225_43871_FULL.txt?rlkey=ed22gmbczulpvwouvncl8vqk4&dl=0,02/23,Alameda County,,Incarcerated Person,Full,,Call
NewFolsom_20210609_618_FULL,76866,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/slxed6cf2qaomgp6zm1g4/NewFolsom_20210609_618_FULL.mp3?dl=0&rlkey=6nx66ent93wpakzv12f44xd0t,https://www.dropbox.com/scl/fi/in325ppuhhizvlxqpgyqi/NewFolsom_20210609_618_FULL.txt?dl=0&rlkey=4nki9ugj4vhe3bqkbqvhk80rl,6/2023,New Folsom,,Incarcerated Person,Full,,Call
NewFolsom_20210610_605_FULL,31116,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/h1h2xq3c931hetchtboah/NewFolsom_20210610_605_FULL.mp3?dl=0&rlkey=41qbj3ml2nn7ugibca7joyzam,https://www.dropbox.com/scl/fi/4r05x6idvawk06n46xl82/NewFolsom_20210610_605_FULL.txt?dl=0&rlkey=t4hsyouw71s0jxzcxtoihyjox,06/23,New Folsom,,Incarcerated Person,Full,,Call
NewFolsom_20220112_29146_FULL,29146,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/zlbsj0wa5bjpu3su6h26x/NewFolsom_20220112_29146_FULL.mp3?dl=0&rlkey=ymmuuz0loha3nmwputi4avr41,https://www.dropbox.com/scl/fi/0wytclf285n6jrzu16ndm/NewFolsom_20220116_29146_FULL.txt?dl=0&rlkey=0jpipprlhu4xr9zkj1krm7mrj,01/23,New Folsom,,Incarcerated Person,Full,,Call
MuleCreek_20210114_0504_FULL,7053,,KT,,KT,,The full story,https://www.dropbox.com/s/t2ayxvce6rfjonr/MuleCreek_20210114_0504_Full.mp3?dl=0,https://www.dropbox.com/s/ub8301vx3lz6phm/MuleCreek_20210114_05_04_FULL.txt?dl=0,01/21,Mule Creek,,Incarcerated Person,Full,,Call
MuleCreek_20210114_0518_FULL,3651,,KT,,KT,,The full story,https://www.dropbox.com/s/c9bh7xjgn1qdxk7/MuleCreek_20210114_0518_FULL.mp3?dl=0,https://www.dropbox.com/s/badj0zt04ukf7bl/MuleCreek_20210114_05_18_%20FULL.txt?dl=0,01/21,Mule Creek,,Incarcerated Person,Full,,Call
CaliforniaCity_20210426_816_Full_ProgramsFamily,816,,LW,08/10/2021,MV,,Full schedule,https://www.dropbox.com/s/jeukcm0iingran8/CaliforniaCity_20210426_816_FULL.mp3?dl=0,https://www.dropbox.com/s/29psgv6dvfeajki/CaliforniaCity_20210426_816_Full.txt?dl=0,04/23,California City,"Programs, Family",Incarcerated Person,Full,,Letter
Calipatria_ 20210208_351_FULL,4882,,KT,,NS,,The full story,https://www.dropbox.com/s/u9hftvchustwpgo/Calipatria_%2020210208_351_Full.mp3?dl=0,https://www.dropbox.com/s/tnpr8u2o7ad1mi8/Calipatria_%2020210208_351_Full.txt?dl=0,02/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210124_314_Full,8680,,KT,,KT,,The full story,https://www.dropbox.com/s/vo1ja83anovodk4/Calipatra_20210124_314_FULL.mp3?dl=0,https://www.dropbox.com/s/v7asnrej9mxsxiu/Calipatria_20210124_314_FULL.txt?dl=0,01/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210125_313_Full,3365,,KT,,KT,,The full story,https://www.dropbox.com/s/a1o6ujyzm9nkh10/Calipatria_20210125_313_full.mp3?dl=0,https://www.dropbox.com/s/oqvprq5o3anf98e/Calipatria_20210125_313_FULL.txt?dl=0,01/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210127_335_Full,1434,,KT,,KT,,The full story,https://www.dropbox.com/s/lh5gw8ysc0gvtg7/Calipatria_20210127_335_FULL.mp3?dl=0,https://www.dropbox.com/s/b9u0norcsims4v1/Calipatria_20210127_335_FULL.txt?dl=0,01/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210129_309_FULL_Infection_Stress,4731,,MV,,KT,,Not being vigilant,https://www.dropbox.com/s/4sgmiysrovij7s3/Calipatria_20210129_309_full.mp3?dl=0,https://www.dropbox.com/s/5bwv3d4ele7rkqf/Calipatria_20210129_309_FULL.txt?dl=0,01/23,Calipatria,Family,Incarcerated Person,Full,,Letter
Calipatria_20210129_369_FULL_PrisonConditions_Stress,6977,,MV,,MV,,The voiceless,https://www.dropbox.com/s/7djry58xc8iwzou/Calipatria_20210129_369_Full.mp3?dl=0,https://www.dropbox.com/s/puqihcwezbv6gku/Calipatria_20210129_369_FULL.txt?dl=0,01/23,Calipatria,"Prison Conditions, Stress",Incarcerated Person,Full,,Letter
Calipatria_20210201_374_FULL_Infection,807,,KT,,KT,,Symptoms became severe,https://www.dropbox.com/s/g3icfpkuht8ow8b/Calipatria_20210201_374_FULL.mp3?dl=0,https://www.dropbox.com/s/is6quos1vg8s2ez/Calipatria_20210201_374_FULL.txt?dl=0,02/23,Calipatria,"Infection, Prison Conditions",Incarcerated Person,Full,,Letter
Calipatria_20210201_376_FULL_Family_Programs,1398,,KT,,KT,,Kinda discouraged,https://www.dropbox.com/s/c5gqqp2e86br3v9/Calipatria_20210201_376_FULL.mp3?dl=0,https://www.dropbox.com/s/l5dgaf61waamjtx/Calipatria_20210201_376_FULL.txt?dl=0,02/23,Calipatria,"Family, Programs",Incarcerated Person,Full,,Letter
Calipatria_20210203_383_FULL,859,,KT,,NS,,The full story,https://www.dropbox.com/s/nl6bbkadll7vsbl/Calipatria_20210203_383_FULL.mp3?dl=0,https://www.dropbox.com/s/5zmbqokrcgc6jc8/Calipatria_20210203_383_FULL.txt?dl=0,02/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210203_384_FULL_Stress,542,,MV,,MV,,Imminent danger,https://www.dropbox.com/s/dco71cincxusf0k/Calipatria_20210203_384_Full_Stress.mp3?dl=0,https://www.dropbox.com/s/9hourkcehry2dvp/Calipatria_20210203_384_FULL_Stress.txt?dl=0,02/23,Calipatria,Stress,Incarcerated Person,Full,,Letter
Calipatria_20210204_378_FULL_Infections_PrisonConditions_StressandCoping,,,KT,,NS,,Plenty of complaints,https://www.dropbox.com/s/9h3nspg0eo87ujq/Calipatria_20210204_378_Full.mp3?dl=0,https://www.dropbox.com/s/vixq5n259lwk6o0/Calipatria_20210204_378_FULL.txt?dl=0,02/23,Calipatria,"Infection, Prison Conditions, Stress",Incarcerated Person,Full,Calipatria_20210203_383_FULL,Letter
Calipatria_20210205_387_FULL,7151,,MV,,KT,,The full story,https://www.dropbox.com/s/g4cla5eavhvyfwi/Calipatria_20210205_387_full.mp3?dl=0,https://www.dropbox.com/s/09azl5o6pwr0zpk/Calipatria_20210205_387_FULL.txt?dl=0,02/23,Calipatria,"Infection, Stress",Incarcerated Person,Full,,Letter
Calipatria_20210205_389a_FULL,3298,,KT,,NS,,Staff's guard down,https://www.dropbox.com/s/7pbcywe5t2ykdab/Calipatria_20210205_389a_FULL.mp3?dl=0,https://www.dropbox.com/s/cmzdahbasxamrou/Calipatria_20210205_389a_full.txt?dl=0,02/23,Calipatria,"Prison Conditions, Family",Incarcerated Person,Full,,Letter
Calipatria_20210205_389b_FULL,7945,,KT,,NS,,Relationships died,https://www.dropbox.com/s/ziry9ar29i8q7pc/Calipatria_20210205_389b_FULL%20.mp3?dl=0,https://www.dropbox.com/s/zfuf0yfffe75smy/Calipatria_202110205_389b_full.txt?dl=0,02/23,Calipatria,"Prison Conditions, Family, Stress",Incarcerated Person,Full,,Letter
Calipatria_20210205_390_FULL_PrisonConditions,6020,,MV,,MV,,Good health,https://www.dropbox.com/s/lt1jrjpu1wziz4t/Calipatria_20210205_390_PrisonConditions_Full.mp3?dl=0,https://www.dropbox.com/s/tn6djyqlmd3abxe/Calipatria_20210205_390_FULL.txt?dl=0,02/23,Calipatria,Prison Conditions,Incarcerated Person,Full,,Letter
Calipatria_20210208_350_Full_Infection_Family,6034,,MV,7/10/2021,MV,07/13/2021,My chest was so sore,https://www.dropbox.com/s/iofje6g8na1qdzx/Calipatria_20210208_350_FULL.mp3?dl=0,https://www.dropbox.com/s/jp8w7ntn4wgty7o/Calipatria_20210208_350_Full.txt?dl=0,02/23,Calipatria,"Infection, Family",Incarcerated Person,Full,,Letter
Calipatria_20210210_360_FULL,6589,,MV,,MV,,The full story,https://www.dropbox.com/s/dnro98f0q4qpyd4/Calipatria_20210210_360_FULL.mp3?dl=0,https://www.dropbox.com/s/5tiaju3prqsidz4/Calipatria_20210210_360_FULL.txt?dl=0,02/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210211_445_FULL_Infections_Programs_Prison Conditions,3017,,MV,,KT,,Safety concerns,https://www.dropbox.com/s/8uok2iwhdrc7ast/Calipatria_20210211_445_FULL.mp3?dl=0,https://www.dropbox.com/s/65fcx7bhcoz1uvf/Calipatria_20210211_445_FULL.txt?dl=0,02/21,Calipatria,"Infection, Program, Prison Conditions",Incarcerated Person,Full,,Letter
Calipatria_20210222_458_FULL_Infection_PrisonConditions,1256,,MV,,MV,,Slept sitting up,https://www.dropbox.com/s/xpp21cpkjgtrcry/Calipatria_20210222_458_FULL.mp3?dl=0,https://www.dropbox.com/s/yp6edq5octsf6d4/Calipatria_20210222_458_Infection.txt?dl=0,02/23,Calipatria,"Infection, Prison Conditions",Incarcerated Person,Full,,Letter
Calipatria_20210312_658_Full,734,,MV,06/27/2021,MV,07/20/2021,The full story,https://www.dropbox.com/s/mb80qdn70kr2qqs/Calipatria_20210312_658_Full.mp3?dl=0,https://www.dropbox.com/s/9p8j0d9h8s0e82o/Calipatria_20210312_658_Full.txt?dl=0,03/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210316_553 _FULL_Infection_Programs_Prison Conditions,2548,,MV,,MV,,Some ignorance,https://www.dropbox.com/s/oh8iak6x9gfdyze/Calipatria_20210316_553%20_FULL.mp3?dl=0,https://www.dropbox.com/s/84rbaa6ufqybxlw/Calipatria_20210316_553%20_FULL.txt?dl=0,01/23,Calipatria,"Infection, Programs, Prison Conditions",Incarcerated Person,Full,,Letter
Calipatria_20210323_644_Full,448,,MV,6/26/2021,MV,07/15/2021,The full story,https://www.dropbox.com/s/k3bupy9ubyozlth/Jamestown_20210323_644_Full.txt?dl=0,https://www.dropbox.com/s/k3bupy9ubyozlth/Jamestown_20210323_644_Full.txt?dl=0,04/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210329_598_Full,8960,,MV,9/20/2021,MV,09/24/2021,The full story,https://www.dropbox.com/s/mkex88p7mn95bh5/Calipatria_20210329_598_FULL.mp3?dl=0,https://www.dropbox.com/s/pcrhys200bhcyzo/Calipatria_20210329_598_FULL.txt?dl=0,03/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210401_605_Full,516,,MV,9/20/2021,MV,09/24/2021,The full story,https://www.dropbox.com/s/bzjpmrc7unwjg6c/Calipatria_20210401_605_Full_PrisonConditionsInfection.mp3?dl=0,https://www.dropbox.com/s/ftf1le8m70sujz0/Calipatria_20210401_605_Full_PrisonConditions_Infection.txt?dl=0,04/23,Calipatria,,Incarcerated Person,Full,,Letter
Calipatria_20210406_964_FULL,2601,,MV,6/28/2021,MV,07/20/2021,The full story,https://www.dropbox.com/s/n8wvmco7ovxbdtt/Calipatria_20210406_964_FULL.mp3?dl=0,https://www.dropbox.com/s/a5ff9akarspyl97/Calipatria_20210406_964_FULL.txt?dl=0,04/23,Calipatria,,Incarcerated Person,Full,,Letter
Centinela_20201123_070_FULL,7526,,KT,,KT,,No mask on,https://www.dropbox.com/s/fnmo1liazl1oylk/Centinela_20201123_070_FULL.mp3?dl=0,https://www.dropbox.com/s/gh8v301gnv3i3cz/Centinela_20201123_070_FULL.txt?dl=0,11/23,Centinela,"Family, Stress, Prison Conditions",Incarcerated Person,Full,,Letter
Centinela_20201204_82_PrisonConditions,413,,KT,,KT,,Nobody regulates,https://www.dropbox.com/s/43ixv9ghg0wj7me/Centinela_20201204_82_PrisonConditions.mp3?dl=0,https://www.dropbox.com/s/84dh7g5031ibdyg/Centinela_20201204_82_PrisonConditions.txt?dl=0,12/23,Centinela,Prison Conditions,Incarcerated Person,Full,,Letter
Centinela_20210223_452_Full,3926,,KT,,KT,,The full story,https://www.dropbox.com/s/obiu487ly3k14bt/Centinela_20210223_452_Full.mp3?dl=0,https://www.dropbox.com/s/sxkxij0cjpfn4fs/Centinela_20210223_452_Full.txt?dl=0,02/23,Centinela,,Incarcerated Person,Full,,Letter
Centinela_20210331_615_FULL,2802,,MV,9/6/2021,MV,09/08/2021,The full story,https://www.dropbox.com/s/majyncwsef0863b/Centinela_20210331_615_FULL.mp3?dl=0,https://www.dropbox.com/s/2dujblg1rdlk5rf/Centinela_20210331_615_FULL.txt?dl=0,03/23,Centinela,,Incarcerated Person,Full,,Letter
Chino_20200430_72_FULL,9178,,KT,,KT,,The full story,https://www.dropbox.com/s/eky3y0rv5ks5x1v/Chino_20200430_72_FULL.mp3?dl=0,https://www.dropbox.com/s/z7lkenls9d1v61q/Chino_20200430_72_FULL.txt?dl=0,04/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20200828_136_FULL,9524,,KT,,KT,,The full story,https://www.dropbox.com/s/fh8v178cyvdw610/Chino_20200828_136_FULL.mp3?dl=0,https://www.dropbox.com/s/veqkwiwwn4uq88g/Chino_20200828_136_FULL.txt?dl=0,08/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201130_074_FULL,4260,,MV,,KT,,The full story,https://www.dropbox.com/s/nio0uddv4q830if/Chino_20201130_074_FULL.mp3?dl=0,https://www.dropbox.com/s/txik6gauy8vwpbr/Chino_20201130_074_Full.txt?dl=0,11/23,Chino,"Prison Conditions, Infection, Stress",Incarcerated Person,Full,,Letter
Chino_20201130_97_Infection,9113,,KT,,KT,,Quarantined 50 days,https://www.dropbox.com/s/9zcfc3z08pj3g2n/Chino_20201130_97_FULL.mp3?dl=0,https://www.dropbox.com/s/885ib9r4z9bkcmn/Chino_20201130_97_FULL.txt?dl=0,11/23,Chino,"Infection, Prison Conditions, Stress",Incarcerated Person,Full,,Letter
Chino_20201201_103_FULL,282,,KT,,KT,,The full story,https://www.dropbox.com/s/ic2ggqmw3lgrfjy/Chino_20201201_103_FULL.mp3?dl=0,https://www.dropbox.com/s/o432npu7k5p2a6s/Chino_20201201_103_Full.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201201_104_FULL,7527,,MV,,MV,,The full story,https://www.dropbox.com/s/gw3cml0lyue5cyb/Chino_20201201_104_FULL.mp3?dl=0,https://www.dropbox.com/s/sw1vc9r7fu8mwor/Chino_20201201_104_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201205_92_Full,9004,,KT,,NS,,The full story,https://www.dropbox.com/s/1jretk58gnj3t62/Chino_20201205_92_FULL.mp3?dl=0,https://www.dropbox.com/s/8clwaiglb90e1cx/Chino_20201205_92_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201209_139_FullPrograms,9023,,KT,,KT,,Been on our own,https://www.dropbox.com/s/ch8andbtxm91k9b/Chino_20201209_139_FullPrograms.mp3?dl=0,https://www.dropbox.com/s/gwx8p9r6jayuj7o/Chino_20201209_139_FullPrograms.txt?dl=0,12/23,Chino,Programs,Incarcerated Person,Full,,Letter
Chino_20201213_137_Full_Infection_Stress,8996,,MV,07/22/2021,MV,08/06/2021,Risk gets higher,https://www.dropbox.com/s/236dumkj43ikn3i/Chino_20201213_137_FULL.mp3?dl=0,https://www.dropbox.com/s/p6irpnj1og9h7xi/Chino_20201213_137_FULL.txt?dl=0,12/23,Chino,"Infection, Stress",Incarcerated Person,Full,,Letter
Chino_20201214_138_Full_Programs_PrisonConditions,8453,,MV,07/22/2021,MV,08/06/2021,Are a number to them,https://www.dropbox.com/s/bqu6qq1xurq69gt/Chino_20201214_138_FULL_Programs_PrisonConditions.mp3?dl=0,https://www.dropbox.com/s/en17qxg33kl5val/Chino_20201214_138_FULL_Programs_PrisonConditions.txt?dl=0,12/23,Chino,"Program, Prison Conditions",Incarcerated Person,Full,,Letter
Chino_20201214_140_Full,1894,,KT,,KT,,The full story,https://www.dropbox.com/s/vcayf2tvwiqiih9/Chino_20201214_140_FULL.mp3?dl=0,https://www.dropbox.com/s/q6vsoxpjsbstzwk/Chino_20201214_140_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201218_174_FULL,9213,,KT,,NS,,Waiting to die,https://www.dropbox.com/s/j2k3oahj7ct25nb/Chino_20201218_174_FULL.mp3?dl=0,https://www.dropbox.com/s/y35ft5bde5d9qee/Chino_20201218_174_FULL.txt?dl=0,12/23,Chino,"Prison Conditions, Stress",Incarcerated Person,Full,,Letter
Chino_20201218_206_Full,7330,,KT,,KT,,Bleed green,https://www.dropbox.com/s/feiqfsdff7gtua5/Chino_20201218_206_Full.mp3?dl=0,https://www.dropbox.com/s/a25gwn106vbx0qs/Chino_20201218_206_Full_PrisonConditions.txt?dl=0,12/23,Chino,Prison Conditions,Incarcerated Person,Full,,Letter
Chino_20201223_207_FULL,5188,,KT,,KT,,The full story,https://www.dropbox.com/s/63h2y8gbiuwwth6/Chino_20201223_207_FULL.mp3?dl=0,https://www.dropbox.com/s/l6rx0xlmd12k3tf/Chino_20201223_207_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201223_208_Full,8211,,KT,,KT,,Ice cold,https://www.dropbox.com/s/e7uavh0k6jlc6qy/Chino_20201223_208_Full.mp3?dl=0,https://www.dropbox.com/s/3c7697wf3sw3gba/Chino_20201223_208_Full.txt?dl=0,12/23,Chino,"Family, Stress, Prison Conditions",Incarcerated Person,Full,,Letter
Chino_20201223_209_FULL,1978,,MV,06/26/2021,MV,07/20/2021,The full story,https://www.dropbox.com/s/5tiogtp1za4bvky/Chino_20201223_209_FULL.mp3?dl=0,https://www.dropbox.com/s/cjp7pfvv4noaxhh/Chino_20201223_209_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201228_178_FULL_PrisonConditions_Infection,7982,,MV,,KT,,Broken windows,https://www.dropbox.com/s/hvzhlzimg7x6ejo/Chino_20201228_178_FULL.mp3?dl=0,https://www.dropbox.com/s/aovqiyxxbr9t71o/Chino_20201228_178_Full.txt?dl=0,12/23,Chino,"Prison Conditions, Infection",Incarcerated Person,Full,,Letter
Chino_20201231_186_FULL,8598,,KT,,KT,,The full story,https://www.dropbox.com/s/edkwug6m6fbpzna/Chino_20201231_186_Full.mp3?dl=0,https://www.dropbox.com/s/ot569uyxcexgz6a/Chino_20201231_186_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
Chino_20201231_201_Full,1981,,KT,,KT,,The full story,https://www.dropbox.com/s/d4q4vqmlz6aolkx/Chino_20201231_201_full.mp3?dl=0,https://www.dropbox.com/s/r19hmgn6m5551nb/Chino_20201231_201_FULL.txt?dl=0,12/23,Chino,,Incarcerated Person,Full,,Letter
